證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7278652","1212643672","167.25","167.40","165.30","167.20","-0.0500","13023"
"0051","元大中型100","51681","4145894","80.00","80.65","80.00","80.05","0.0500","284"
"0052","富邦科技","327480","52643413","162.00","162.00","159.45","161.20","-0.5000","669"
"0053","元大電子","13831","1234546","89.50","89.60","89.15","89.30","-0.4500","120"
"0055","元大MSCI金融","390943","10558095","26.95","27.10","26.86","27.06","0.1100","424"
"0056","元大高股息","19387424","767900186","39.52","39.70","39.42","39.66","0.1500","14041"
"0057","富邦摩台","17998","2211089","123.45","123.45","122.50","122.50","-0.8000","67"
"0061","元大寶滬深","242420","4351671","17.88","18.00","17.87","17.91","0.1200","150"
"006203","元大MSCI台灣","9201","726483","78.95","79.15","78.85","79.00","-0.3500","80"
"006204","永豐臺灣加權","25782","2715407","105.80","106.00","105.20","105.55","-0.3000","108"
"006205","富邦上証","622128","19177918","30.61","30.90","30.61","30.80","0.4600","267"
"006206","元大上證50","190082","5619585","29.25","29.70","29.25","29.66","0.5000","143"
"006207","復華滬深","186535","4378353","23.60","23.60","23.33","23.43","0.3100","41"
"006208","富邦台50","5955411","580593869","97.90","98.00","96.75","97.65","-0.1500","11681"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3303667","702249770","214.65","214.70","209.80","213.25","-0.1000","2926"
"00632R","元大台灣50反1","117538267","437241858","3.70","3.75","3.70","3.72","0.0100","4048"
"00633L","富邦上証正2","8451282","315197934","37.33","37.59","36.95","37.19","1.2500","2030"
"00634R","富邦上証反1","345000","1523910","4.43","4.43","4.40","4.43","-0.0800","28"
"00635U","期元大S&P黃金","1303681","37655476","28.87","28.95","28.80","28.93","0.6900","548"
"00636","國泰中國A50","1285460","27612139","21.49","21.56","21.38","21.45","0.2800","446"
"00636K","國泰中國A50+U","200","1332","6.66","6.66","6.66","6.66","0.0800","2"
"00637L","元大滬深300正2","85312362","1274177173","14.90","15.05","14.81","14.88","0.4800","9359"
"00638R","元大滬深300反1","390751","3603894","9.28","9.28","9.20","9.23","-0.1600","93"
"00639","富邦深100","1080831","11923211","10.95","11.10","10.95","10.99","0.1200","259"
"00640L","富邦日本正2","1451061","85311905","58.75","59.25","58.30","58.30","0.9500","483"
"00641R","富邦日本反1","1009864","6433770","6.38","6.40","6.36","6.39","-0.0700","166"
"00642U","期元大S&P石油","1875204","33609632","17.90","17.96","17.88","17.91","0.1300","512"
"00643","群益深証中小","1068551","12720584","11.81","11.97","11.81","11.88","0.1800","177"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","1428780","54787206","38.32","38.45","38.14","38.14","0.2400","630"
"00646","元大S&P500","1534003","81927825","53.30","53.45","53.30","53.40","0.1500","1287"
"00647L","元大S&P500正2","43261","3674522","85.00","85.10","84.90","85.10","0.5500","107"
"00648R","元大S&P500反1","690000","3909870","5.67","5.68","5.66","5.68","-0.0100","53"
"00650L","復華香港正2","27525902","335053306","12.15","12.23","12.09","12.20","0.3200","2406"
"00651R","復華香港反1","906809","7355649","8.15","8.15","8.08","8.10","-0.1000","152"
"00652","富邦印度","323852","11935051","36.65","36.98","36.65","36.96","0.3200","328"
"00653L","富邦印度正2","317169","18270664","57.50","57.75","57.35","57.75","0.5000","176"
"00654R","富邦印度反1","86000","587340","6.85","6.85","6.81","6.83","-0.0200","12"
"00655L","國泰中國A50正2","5071186","129503270","25.56","25.76","25.31","25.47","0.8700","999"
"00656R","國泰中國A50反1","251000","2081840","8.30","8.33","8.27","8.31","-0.1400","25"
"00657","國泰日經225","352315","16261166","46.02","46.20","45.78","45.79","0.3700","125"
"00657K","國泰日經225+U","200","2856","14.28","14.28","14.28","14.28","0.1900","2"
"00660","元大歐洲50","6957","254623","36.66","36.69","36.62","36.65","0.2000","104"
"00661","元大日經225","1290613","64990020","50.30","50.50","50.05","50.05","0.5500","268"
"00662","富邦NASDAQ","435811","33585850","77.05","77.15","76.90","77.10","0.1000","585"
"00663L","國泰臺灣加權正2","458238","89210631","197.60","197.60","193.30","196.20","-0.1500","23"
"00664R","國泰臺灣加權反1","9855030","41470536","4.19","4.24","4.19","4.20","0.0000","322"
"00665L","富邦恒生國企正2","53756304","432130192","8.08","8.09","7.98","8.05","0.2000","4272"
"00666R","富邦恒生國企反1","137000","1862490","13.60","13.66","13.56","13.61","-0.1400","33"
"00668","國泰美國道瓊","11771","551995","46.90","46.90","46.86","46.90","0.2500","81"
"00668K","國泰美國道瓊+U","200","2906","14.53","14.53","14.53","14.53","0.0600","2"
"00669R","國泰美國道瓊反1","2253000","15683120","6.96","6.97","6.95","6.97","-0.0300","170"
"00670L","富邦NASDAQ正2","329973","37791830","114.50","114.65","114.40","114.65","0.3500","340"
"00671R","富邦NASDAQ反1","5760000","22951810","3.99","3.99","3.98","3.98","-0.0100","164"
"00673R","期元大S&P原油反1","5732019","42014916","7.35","7.35","7.31","7.34","-0.0600","538"
"00674R","期元大S&P黃金反1","2536684","25896722","10.20","10.24","10.19","10.20","-0.2400","421"
"00675L","富邦臺灣加權正2","1988636","169764660","86.20","86.20","84.35","85.60","-0.1000","1446"
"00676R","富邦臺灣加權反1","7030800","16429997","2.33","2.35","2.32","2.34","0.0100","246"
"00678","群益那斯達克生技","278950","7901519","28.32","28.34","28.31","28.33","-0.0400","117"
"00680L","元大美債20正2","25524433","215519876","8.44","8.46","8.42","8.44","-0.1000","2814"
"00681R","元大美債20反1","336000","6921460","20.55","20.62","20.55","20.62","0.1400","25"
"00682U","期元大美元指數","26000","548570","21.12","21.12","21.09","21.09","-0.0600","8"
"00683L","期元大美元指正2","27101","615729","22.75","22.75","22.70","22.70","-0.0700","24"
"00684R","期元大美元指反1","1000","15450","15.45","15.45","15.45","15.45","0.0300","1"
"00685L","群益臺灣加權正2","519657","39388121","76.80","76.80","75.10","76.25","-0.0500","108"
"00686R","群益臺灣加權反1","568250","1422755","2.50","2.52","2.50","2.51","0.0100","30"
"00688L","國泰20年美債正2","16119557","135474151","8.42","8.42","8.38","8.40","-0.1100","1481"
"00689R","國泰20年美債反1","15000","319960","21.30","21.34","21.30","21.34","0.1500","3"
"00690","兆豐藍籌30","1848193","59250480","32.08","32.29","31.88","32.06","0.0200","617"
"00692","富邦公司治理","3160765","126125677","40.04","40.10","39.66","40.01","-0.0300","2212"
"00693U","期街口S&P黃豆","504396","12395611","24.60","24.62","24.55","24.55","-0.0100","114"
"00700","富邦恒生國企","874635","12254964","13.93","14.11","13.93","14.06","0.2000","336"
"00701","國泰股利精選30","1634320","46065530","28.22","28.26","28.11","28.21","0.0100","652"
"00702","國泰標普低波高息","104417","2463047","23.55","23.59","23.55","23.59","0.0800","12"
"00703","台新MSCI中國","146241","2471779","16.85","17.01","16.85","16.90","0.2400","118"
"00706L","期元大S&P日圓正2","4921294","30681794","6.23","6.24","6.22","6.23","-0.0100","410"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","2007587","73997816","36.87","36.99","36.62","36.99","1.7300","569"
"00709","富邦歐洲","25355","768084","30.26","30.32","30.26","30.30","0.2400","97"
"00710B","復華彭博非投等債","564039","10958820","19.40","19.45","19.40","19.42","0.0200","64"
"00711B","復華彭博新興債","113299","1858232","16.43","16.43","16.39","16.40","-0.0300","69"
"00712","復華富時不動產","14613231","145111198","9.92","9.94","9.92","9.93","0.0300","3300"
"00713","元大台灣高息低波","9981062","571605781","57.50","57.50","57.00","57.20","-0.3000","10952"
"00714","群益道瓊美國地產","56326","1106704","19.62","19.66","19.62","19.65","0.0400","121"
"00715L","期街口布蘭特正2","12475508","205752088","16.42","16.57","16.39","16.50","0.2400","2053"
"00717","富邦美國特別股","310311","4911766","15.82","15.84","15.82","15.82","-0.0200","148"
"00728","第一金工業30","679574","20535939","30.30","30.36","30.13","30.23","-0.1000","187"
"00730","富邦臺灣優質高息","559415","12259769","21.82","21.99","21.80","21.90","0.0700","275"
"00731","復華富時高息低波","5003316","387138655","78.00","78.05","77.00","77.45","-0.0500","2391"
"00733","富邦臺灣中小","3585038","208750748","58.20","58.50","57.95","58.25","0.2500","5023"
"00735","國泰臺韓科技","151412","5307618","35.25","35.25","34.99","35.18","0.0500","94"
"00736","國泰新興市場","106070","2435205","22.85","23.00","22.85","23.00","0.1900","12"
"00737","國泰AI+Robo","33527","1039134","31.20","31.20","30.96","31.02","-0.0300","118"
"00738U","期元大道瓊白銀","3001324","88977564","29.36","29.98","29.36","29.66","2.3100","1109"
"00739","元大MSCI A股","832381","18101065","21.50","21.79","21.50","21.72","0.2400","131"
"00752","中信中國50","5743324","116140905","20.20","20.30","20.15","20.25","0.3000","1677"
"00753L","中信中國50正2","30402195","289141897","9.56","9.57","9.46","9.52","0.2500","3341"
"00757","統一FANG+","1208297","97638686","80.55","80.85","80.55","80.80","0.3000","1268"
"00762","元大全球AI","223941","13560571","60.45","60.65","60.45","60.60","0.1500","401"
"00763U","期街口道瓊銅","1305232","41277699","31.41","31.86","31.41","31.53","1.4500","413"
"00770","國泰北美科技","604733","26398306","43.62","43.68","43.62","43.66","0.0400","440"
"00771","元大US高息特別股","25222","439504","17.44","17.44","17.41","17.42","-0.0200","85"
"00775B","新光投等債15+","4148","142377","34.35","34.38","34.35","34.38","-0.1500","70"
"00783","富邦中証500","91083","1720416","18.95","18.96","18.85","18.89","0.3200","26"
"00830","國泰費城半導體","4731371","214199251","45.35","45.35","45.12","45.33","-0.0900","1566"
